GMT Date,GMT Time,GPS Latitude,GPS Longitude,VOCs-LC-PPM PPM,MS3-LC-PPM PPM,Hydrogen Sulfide-LC-PPM PPM,Methane-LC-PPM PPM,MS2-LC-PPM PPM,Ammonia-LC-PPM PPM,Wind Speed m/s,Wind Direction �,Daily Rain mm,Solar Sensor W/m2,UV Sensor UV index,Barometric Pressure KPa,Internal Temperature-C,Internal Humidity-%,External Temperature-C,External Humidity-%,Odour Unit Odour Unit
2/27/2017,22:57:44,43.834333,-79.333026,0.83,10.89,0.063,0,0.717,225.376,0,197,0,0.965,0,100.261,29.3,11.5,23.6,17.2,0
2/27/2017,22:59:14,43.834306,-79.333053,0.276,1.934,0.101,170.755,0.187,77.627,0,202,0,0,0,100.261,29.4,11.5,23.6,17.3,0
2/27/2017,23:00:44,43.834306,-79.333053,0.229,0.298,0.063,117.044,0.054,47.178,0,205,0,2.412,0,100.256,29.5,11.5,23.6,17.3,0
2/27/2017,23:02:14,43.834306,-79.333053,0.183,0.19,0.07,0,0.031,45.552,0,197,0.4,0,0,100.253,29.6,11.6,23.6,17.2,0
2/27/2017,23:03:44,43.834306,-79.333053,0.195,0.077,0.067,23.049,0.023,41.392,0,173,27,2.412,0,100.255,29.6,11.6,23.4,17.3,0
2/27/2017,23:05:14,43.834306,-79.333053,0.183,0.05,0.05,0,0.015,34.101,0,168,27.2,0.482,0,100.259,29.8,11.6,23.4,17.2,0
2/27/2017,23:06:44,43.834306,-79.333053,0.149,0.029,0.043,0,0.01,33.388,0,172,27.2,0,0,100.249,29.9,11.6,23.4,17.1,0
2/27/2017,23:08:14,43.834306,-79.333053,0.102,0.025,0.062,0,0.008,36.65,0,174,28.2,0,0,100.253,29.8,11.6,23.4,17.1,0
2/27/2017,23:09:44,43.834306,-79.333053,0.091,0.023,0.046,0,0.009,32.857,0,175,28.2,1.93,0,100.251,29.9,11.5,23.4,17.3,0
2/27/2017,23:09:44,43.834306,-79.333053,0.091,0.023,0.046,0,0.009,32.857,0,175,28.2,1.93,0,100.251,29.9,11.5,23.4,17.3,0
2/27/2017,23:12:44,43.834306,-79.333053,0.114,0.025,0.052,49.905,0.008,38.897,0,176,28.2,0,0,100.254,30,11.5,23.3,17.3,0
2/27/2017,23:20:32,43.834306,-79.333053,0.449,1.699,0.059,36.477,0.583,181.941,0,176,0,0.965,0,100.258,29.8,11,23.2,17.1,0
2/27/2017,23:22:02,43.834306,-79.333053,0.114,0.208,0.055,0,0.116,68.619,0,168,0,0.482,0,100.26,29.8,11.2,23.1,17.4,0
2/27/2017,23:23:32,43.834306,-79.333053,0.068,0.01,0.046,0,0.025,40.022,0,171,0,0.482,0,100.262,29.8,11.3,23.1,17.4,0
2/27/2017,23:25:02,43.834306,-79.333053,0.183,0.003,0.047,0,0.012,34.222,0,172,0.2,0,0,100.264,29.7,11.4,23.1,17.3,0
2/27/2017,23:26:32,43.834306,-79.333053,0.183,0.003,0.038,23.049,0.017,18.784,0,172,0.2,0,0.005,100.259,29.8,11.5,23,17.7,0
2/27/2017,23:28:02,43.834306,-79.333053,0.137,0.003,0.041,0,0.018,20.168,0,173,0.2,0.965,0,100.261,29.7,11.5,23.2,17.5,0
2/27/2017,23:29:32,43.834306,-79.333053,0.079,0.003,0.039,0,0.016,20.736,0,171,0.2,0,0,100.265,29.8,11.5,23.3,17.4,0
2/27/2017,23:31:02,43.834306,-79.333053,0.16,0.003,0.036,0,0.015,21.023,0,171,0.2,0,0,100.264,29.9,11.5,23.1,17.3,0
